current_mps,peak_A_over_D,peak_bending_MPa,annual_design_damage
0.3,0.1095586587522858,3.9480463194484154,2.628142926280353e-05
0.5466666666666666,0.4303707631594672,15.490204210663522,0.21391826012198387
0.7933333333333333,0.9824552925980949,35.43669138368335,3.842972508715829
1.04,1.804325601651071,64.92913303409779,31.982163329042447
1.2866666666666666,2.808175455592986,100.84436742101008,164.78325064792907
1.5333333333333334,3.840986515157097,137.20705416090007,549.1963326288204
1.78,4.71563274333058,168.60737302421228,1321.8870695942671
2.026666666666667,4.71563274333058,168.60737302421228,1505.069921935046
2.2733333333333334,4.71563274333058,168.60737302421228,1688.2527742758243
2.52,4.71563274333058,168.60737302421228,1871.4356266166028
2.7666666666666666,4.71562853655698,168.60726158962416,2054.5087753905636
3.013333333333333,4.71562853655698,168.60726158962416,2237.681846931409
3.26,4.71563274333058,168.60737302421228,2420.984183638939
3.5066666666666664,4.71563274333058,168.60737302421228,2604.167035979717
3.7533333333333334,4.71562853655698,168.60726158962416,2787.201061553945
4.0,4.71562853655698,168.60726158962416,2970.37413309479
