depth_m,current_mps
0.0,1.62
51.724137931034484,1.6120608064094943
103.44827586206897,1.6038739062438265
155.17241379310346,1.5954219526544937
206.89655172413794,1.586685657518308
258.62068965517244,1.5776434862419957
310.3448275862069,1.5682712895797992
362.0689655172414,1.5585418560917201
413.7931034482759,1.548424363655776
465.51724137931035,1.537883701237627
517.2413793103449,1.5268796220097283
568.9655172413793,1.5153656745125335
620.6896551724138,1.5032878376943628
672.4137931034483,1.4905827548926798
724.1379310344828,1.477175415466659
775.8620689655172,1.4629760613526455
827.5862068965517,1.4478759828474614
879.3103448275863,1.431741684025957
931.0344827586207,1.414406588766798
982.7586206896552,1.3956589175232001
1034.4827586206898,1.3752233769302342
1086.2068965517242,1.3527324026505314
1137.9310344827586,1.3276787994479795
1189.655172413793,1.2993330037196058
1241.3793103448277,1.2665872019415174
1293.103448275862,1.2276305674235637
1344.8275862068965,1.179169590011326
1396.5517241379312,1.1140982555897594
1448.2758620689656,1.0110655078531408
1500.0,0.0
