Role,Reference,URL / DOI,Used for
Validation & Calibration,"M. L. Facchinetti, E. de Langre, F. Biolley, 'Coupling of structure and wake oscillators in vortex-induced vibrations', J. Fluids & Structures 19 (2004) 123-140.",https://doi.org/10.1016/j.jfluidstructs.2003.12.004,"acceleration-coupled van der Pol wake oscillator; eps=0.3, A=12"
Validation & Calibration,"DNV-RP-C203, 'Fatigue design of offshore steel structures', Det Norske Veritas.",https://www.dnv.com,"two-slope S-N curves (seawater w/ CP and in-air), thickness correction, Palmgren-Miner accumulation"
Validation,"J. C. Sprott, 'Lyapunov Exponent and Dimension of the Lorenz Attractor', University of Wisconsin-Madison.",https://sprott.physics.wisc.edu/chaos/lorenzle.htm,"lambda = (0.906, 0, -14.572); Kaplan-Yorke dimension = 2.062"
Validation,"A. Wolf, J. B. Swift, H. L. Swinney, J. A. Vastano, 'Determining Lyapunov exponents from a time series', Physica D 16 (1985) 285-317.",https://doi.org/10.1016/0167-2789(85)90011-9,Benettin/QR algorithm; Lorenz largest exponent ~0.906 bit/s
Validation,"A. Khalak & C. H. K. Williamson, 'Motions, forces and mode transitions in vortex-induced vibrations at low mass-damping', J. Fluids & Structures 13 (1999) 813-851.",https://doi.org/10.1006/jfls.1999.0236,"peak cross-flow amplitude A/D ~ 1.0 (upper branch), three-branch response, low mass-damping"
Validation,"E. N. Lorenz, 'Deterministic Nonperiodic Flow', J. Atmospheric Sciences 20 (1963) 130-141.",https://doi.org/10.1175/1520-0469(1963)020<0130:DNF>2.0.CO;2,low-order convective triad; physical basis of the near-wake core
Calibration,"R. D. Blevins, 'Flow-Induced Vibration', 2nd ed., Van Nostrand Reinhold, 1990.",ISBN 978-0442206512,Strouhal number St~0.2 for circular cylinders; VIV lock-in band and reduced-velocity range
Calibration,"B. M. Sumer & J. Fredsoe, 'Hydrodynamics Around Cylindrical Structures', rev. ed., World Scientific, 2006.",https://doi.org/10.1142/6248,"drag / inertia (added-mass) coefficients Cd, Ca and vortex-shedding regimes vs Reynolds/KC number"
Calibration,"DNV-RP-C205, 'Environmental conditions and environmental loads', Det Norske Veritas.",https://www.dnv.com,"current-profile modelling, Morison drag/added-mass coefficients used for the hydrodynamic loading"
Calibration,"DNV-RP-F204, 'Riser fatigue', Det Norske Veritas.",https://www.dnv.com,riser fatigue-analysis methodology and design fatigue factor (DFF) framework
Calibration,"DNV-RP-F105, 'Free spanning pipelines', Det Norske Veritas.",https://www.dnv.com,VIV response-amplitude (A/D) models and cross-flow lock-in calibration reference
Calibration,"API Specification 5L, 'Line Pipe', 46th ed., American Petroleum Institute, 2018.",https://www.api.org,"grade X65 line pipe: SMYS 448 MPa, E=207 GPa, density 7850 kg/m^3"
Calibration,"ASTM E1049-85(2017), 'Standard Practices for Cycle Counting in Fatigue Analysis', ASTM International.",https://doi.org/10.1520/E1049-85R17,rainflow cycle-counting algorithm used on the stress history
Calibration,"ITTC Recommended Procedure 7.5-02-01-03, 'Fresh Water and Seawater Properties', Int. Towing Tank Conference, 2011.",https://www.ittc.info,"seawater density 1025 kg/m^3 and kinematic viscosity 1.05e-6 m^2/s (S=35, ~15 C)"
Calibration,"Representative deepwater metocean dataset (illustrative, site-specific values consistent with West-Africa / deepwater conditions).",illustrative / dummy-but-credible,"water depth 1500 m, 1/10/100-yr currents 1.05/1.35/1.55 m/s, shear exponent, Hs-Tp scatter"
